fifa_name,fifa_team,fifa_position,reason,best_candidate,fbref_club
Evidence Makgopa,South Africa,FWD,best score 22 < 85,Lyle Foster,Burnley
Thapelo Maseko,South Africa,FWD,best score 31 < 85,Lyle Foster,Burnley
Alejandro Grimaldo,Spain,DEF,best score 78 < 85,Alejandro Balde,Barcelona
Besfort Zeneli,Sweden,MID,best score 47 < 85,Joel Asoro,Metz
Elliot Stroud,Sweden,MID,best score 55 < 85,Williot Swedberg,Celta Vigo
Taha Ali,Sweden,MID,best score 53 < 85,Hjalmar Ekdal,Burnley
Gustaf Lagerbielke,Sweden,DEF,best score 43 < 85,Alexander Isak,Liverpool
Benjamin Nygren,Sweden,FWD,best score 60 < 85,Amin Sarr,Hellas Verona
Gustaf Nilsson,Sweden,FWD,best score 61 < 85,Isak Jansson,Nice
Hadj Mahmoud,Tunisia,MID,best score 45 < 85,Ali Abdi,Nice
Mortadha Ben Ouanes,Tunisia,MID,best score 42 < 85,Ali Abdi,Nice
Anis Ben Slimane,Tunisia,MID,best score 51 < 85,Ali Abdi,Nice
Moutaz Neffati,Tunisia,DEF,best score 48 < 85,Montassar Talbi,Lorient
Omar Rekik,Tunisia,DEF,best score 43 < 85,Ismaël Gharbi,Augsburg
Adem Arous,Tunisia,DEF,best score 43 < 85,Ismaël Gharbi,Augsburg
Mohamed Amine Ben Hmida,Tunisia,DEF,best score 47 < 85,Rani Khedira,Union Berlin
Raed Chikhaoui,Tunisia,DEF,best score 46 < 85,Rani Khedira,Union Berlin
Firas Chaouat,Tunisia,FWD,best score 52 < 85,Elias Saad,Augsburg
Sebastian Tounekti,Tunisia,FWD,best score 40 < 85,Elias Saad,Augsburg
Hazem Mastouri,Tunisia,FWD,best score 44 < 85,Ismaël Gharbi,Augsburg
Rayan Elloumi,Tunisia,FWD,best score 49 < 85,Elias Saad,Augsburg
Khalil Ayari,Tunisia,FWD,best score 60 < 85,Ali Abdi,Nice
Ismail Yüksek,Turkiye,MID,best score 44 < 85,Semih Kılıçsoy,Cagliari
Orkun Kökçü,Turkiye,MID,best score 47 < 85,Ozan Kabak,Hoffenheim
Kaan Ayhan,Turkiye,DEF,best score 72 < 85,Hakan Çalhanoğlu,Inter
Samet Akaydin,Turkiye,DEF,best score 44 < 85,Ferdi Kadioglu,Brighton
Mert Müldür,Turkiye,DEF,best score 53 < 85,Bertuğ Yıldırım,Rennes
Eren Elmali,Turkiye,DEF,best score 50 < 85,Enes Ünal,Bournemouth
Abdülkerim Bardakci,Turkiye,DEF,best score 60 < 85,Arda Güler,Real Madrid
Merih Demiral,Turkiye,DEF,best score 56 < 85,Emirhan İlkhan,Torino
Mustafa Eskihellaç,Turkiye,DEF,best score 45 < 85,Zeki Çelik,Roma
Ahmetcan Kaplan,Turkiye,DEF,best score 56 < 85,Ozan Kabak,Hoffenheim
Kenan Yildiz,Turkiye,MID,best score 83 < 85,Kenan Yıldız,Juventus
Kerem Aktürkoglu,Turkiye,FWD,best score 53 < 85,Ferdi Kadioglu,Brighton
Baris Alper Yilmaz,Turkiye,FWD,best score 54 < 85,Arda Güler,Real Madrid
Oguz Aydin,Turkiye,FWD,best score 52 < 85,Can Uzun,Eintracht Frankfurt
Yunus Akgün,Turkiye,FWD,best score 50 < 85,Can Uzun,Eintracht Frankfurt
Deniz Gül,Turkiye,FWD,best score 73 < 85,Deniz Ofli,Bayern Munich
Pablo Alcoba,Uruguay,MID,best score 48 < 85,Thiago Borbas,Oviedo
Emiliano Martínez,Uruguay,MID,best score 53 < 85,Manuel Ugarte,Manchester Utd
Luciano González,Uruguay,MID,best score 50 < 85,Carlos Benavídez,Alavés
Facundo Pellistri,Uruguay,MID,best score 53 < 85,Franco Israel,Torino
Maxi Araújo,Uruguay,MID,best score 67 < 85,Ronald Araújo,Barcelona
Nicolás de la Cruz,Uruguay,MID,best score 60 < 85,Nicolas Fonseca,Oviedo
Matías Viña,Uruguay,DEF,best score 83 < 85,Matías Vecino,Celta Vigo
Guillermo Varela,Uruguay,DEF,best score 58 < 85,Leandro Cabrera,Espanyol
Sebastián Cáceres,Uruguay,DEF,best score 65 < 85,Sebastián Boselli,Getafe
José Rodríguez,Uruguay,DEF,best score 78 < 85,Juan Rodríguez,Cagliari
Brian Barboza,Uruguay,DEF,best score 53 < 85,Thiago Borbas,Oviedo
Benjamín García,Uruguay,DEF,best score 53 < 85,Martin Satriano,Getafe
Darwin Núñez,Uruguay,FWD,best score 52 < 85,José María Giménez,Atlético Madrid
Brian Rodríguez,Uruguay,FWD,best score 82 < 85,Juan Rodríguez,Cagliari
Rodrigo Aguirre,Uruguay,FWD,best score 68 < 85,Rodrigo Bentancur,Tottenham Hotspur
Facundo Torres,Uruguay,FWD,best score 51 < 85,Franco Israel,Torino
Agustín Canobbio,Uruguay,FWD,best score 64 < 85,Agustín Albarracín,Cagliari
Facundo Martínez,Uruguay,FWD,best score 52 < 85,José María Giménez,Atlético Madrid
Agustín Álvarez,Uruguay,FWD,best score 72 < 85,Agustín Albarracín,Cagliari
Giorgian de Arrascaeta,Uruguay,MID,best score 48 < 85,Ronald Araújo,Barcelona
Cristian Roldan,United States,MID,best score 62 < 85,Christian Pulisic,Milan
Sebastian Berhalter,United States,MID,best score 50 < 85,Mathis Albert,Dortmund
Aidan Morris,United States,MID,best score 50 < 85,Damion Downs,Hamburger SV
Tim Ream,United States,DEF,best score 60 < 85,Timothy Weah,Marseille
Auston Trusty,United States,DEF,best score 48 < 85,Antonee Robinson,Fulham
Alexander Freeman,United States,DEF,best score 82 < 85,Alex Freeman,Villarreal
Ricardo Pepi,United States,FWD,best score 58 < 85,Chris Richards,Crystal Palace
Patrick Agyemang,United States,FWD,best score 48 < 85,Malik Tillman,Leverkusen
Max Arfsten,United States,FWD,best score 52 < 85,Alex Freeman,Villarreal
Abdulla Abdullaev,Uzbekistan,MID,best score 45 < 85,Abdukodir Khusanov,Manchester City
Sherzod Esanov,Uzbekistan,MID,best score 50 < 85,Abdukodir Khusanov,Manchester City
Jasurbek Jaloliddinov,Uzbekistan,MID,best score 46 < 85,Abdukodir Khusanov,Manchester City
Ruslanbek Jiyanov,Uzbekistan,MID,best score 45 < 85,Abdukodir Khusanov,Manchester City
Akmal Mozgovoy,Uzbekistan,MID,best score 31 < 85,Abdukodir Khusanov,Manchester City
Otabek Shukurov,Uzbekistan,MID,best score 48 < 85,Abdukodir Khusanov,Manchester City
Umarali Rakhmonaliev,Uzbekistan,MID,best score 36 < 85,Abdukodir Khusanov,Manchester City
Dostonbek Khamdamov,Uzbekistan,MID,best score 43 < 85,Abdukodir Khusanov,Manchester City
Aziz G'aniev,Uzbekistan,MID,best score 40 < 85,Abdukodir Khusanov,Manchester City
Odiljon Hamrobekov,Uzbekistan,MID,best score 44 < 85,Abdukodir Khusanov,Manchester City
Oston Urunov,Uzbekistan,MID,best score 42 < 85,Abdukodir Khusanov,Manchester City
Jamshid Iskanderov,Uzbekistan,MID,best score 44 < 85,Abdukodir Khusanov,Manchester City
Jaloliddin Masharipov,Uzbekistan,MID,best score 46 < 85,Abdukodir Khusanov,Manchester City
Abbosbek Fayzullaev,Uzbekistan,MID,best score 37 < 85,Abdukodir Khusanov,Manchester City
Rustam Ashurmatov,Uzbekistan,DEF,best score 40 < 85,Abdukodir Khusanov,Manchester City
Sherzod Nasrullaev,Uzbekistan,DEF,best score 33 < 85,Abdukodir Khusanov,Manchester City
Farrukh Sayfiev,Uzbekistan,DEF,best score 42 < 85,Abdukodir Khusanov,Manchester City
Khojiakbar Alijonov,Uzbekistan,DEF,best score 48 < 85,Abdukodir Khusanov,Manchester City
Umar Eshmurodov,Uzbekistan,DEF,best score 42 < 85,Abdukodir Khusanov,Manchester City
Avazbek O'lmasaliev,Uzbekistan,DEF,best score 37 < 85,Abdukodir Khusanov,Manchester City
Bekhruz Karimov,Uzbekistan,DEF,best score 48 < 85,Abdukodir Khusanov,Manchester City
Jakhongir Urozov,Uzbekistan,DEF,best score 52 < 85,Abdukodir Khusanov,Manchester City
Eldor Shomurodov,Uzbekistan,FWD,best score 47 < 85,Abdukodir Khusanov,Manchester City
Igor Sergeev,Uzbekistan,FWD,best score 39 < 85,Abdukodir Khusanov,Manchester City
Sherzod Temirov,Uzbekistan,FWD,best score 36 < 85,Abdukodir Khusanov,Manchester City
Azizbek Amanov,Uzbekistan,FWD,best score 50 < 85,Abdukodir Khusanov,Manchester City
Germán Pezzella,Argentina,DEF,best score 48 < 85,Gerónimo Rulli,Marseille
Lautaro Di Lollo,Argentina,DEF,best score 60 < 85,Lautaro Valenti,Parma
Gonzalo Montiel,Argentina,DEF,best score 61 < 85,Nicolás González,Atlético Madrid
Kevin Mac Allister,Argentina,DEF,best score 81 < 85,Alexis Mac Allister,Liverpool
Emiliano Buendía,Argentina,MID,best score 81 < 85,Emi Buendía,Aston Villa
Aníbal Moreno,Argentina,MID,best score 76 < 85,Matias Moreno,Levante
Alan Varela,Argentina,MID,best score 64 < 85,Julián Álvarez,Atlético Madrid
Tomás Aranda,Argentina,MID,best score 56 < 85,Thiago Almada,Atlético Madrid
Milton Delgado,Argentina,MID,best score 53 < 85,Mateo Pellegrino,Parma
Dennis Hadzikadunic,Bosnia-Herzegovina,DEF,best score 61 < 85,Denis Huseinbasic,Köln
Ermin Mahmic,Bosnia-Herzegovina,MID,best score 62 < 85,Ermedin Demirović,Stuttgart
Neymar,Brazil,MID,best score 60 < 85,Gabriel Martinelli,Arsenal
Willer Ditta,Colombia,DEF,best score 47 < 85,Luis Díaz,Bayern Munich
Juan Portilla,Colombia,MID,best score 72 < 85,Juan Arizala,Udinese
David Zima,Czechia,DEF,best score 45 < 85,Vladimír Coufal,Hoffenheim
Alexandr Sojka,Czechia,MID,best score 64 < 85,Alex Král,Union Berlin
David Doudera,Czechia,MID,best score 42 < 85,Vladimír Coufal,Hoffenheim
Hugo Sochurek,Czechia,MID,best score 56 < 85,Tomáš Souček,West Ham United
Christophe Kabongo,Czechia,FWD,best score 40 < 85,Louis Buffon,Pisa
Jan Kuchta,Czechia,FWD,best score 42 < 85,Alex Král,Union Berlin
Augustine Boakye,Ghana,MID,best score 46 < 85,Kwasi Sibo,Oviedo
Ko Itakura,Japan,DEF,best score 70 < 85,Kōta Takai,Gladbach
Takehiro Tomiyasu,Japan,DEF,best score 63 < 85,Hiroki Ito,Bayern Munich
Yuto Nagatomo,Japan,DEF,best score 47 < 85,Tomoya Ando,St Pauli
Julián Araujo,Mexico,DEF,best score 46 < 85,Johan Vásquez,Genoa
Alejandro Gómez,Mexico,DEF,best score 55 < 85,Álvaro Fidalgo,Real Betis
Ramón Juárez,Mexico,DEF,best score 50 < 85,Raúl Jiménez,Fulham
Mateo Chávez,Mexico,DEF,best score 48 < 85,Johan Vásquez,Genoa
Bryan González,Mexico,DEF,best score 46 < 85,Santiago Giménez,Milan
Víctor Guzmán,Mexico,DEF,best score 41 < 85,Santiago Giménez,Milan
Marcel Ruiz,Mexico,MID,best score 43 < 85,Raúl Jiménez,Fulham
Jordán Carrillo,Mexico,MID,best score 42 < 85,Johan Vásquez,Genoa
Diego Lainez,Mexico,MID,best score 57 < 85,Santiago Giménez,Milan
César Huerta,Mexico,MID,best score 34 < 85,Obed Vargas,Atlético Madrid
Edson Álvarez,Mexico,MID,best score 56 < 85,Álvaro Fidalgo,Real Betis
Jesús Angulo,Mexico,MID,best score 38 < 85,Johan Vásquez,Genoa
Gilberto Mora,Mexico,MID,best score 41 < 85,Obed Vargas,Atlético Madrid
Luis Chávez,Mexico,MID,best score 41 < 85,Johan Vásquez,Genoa
Luis Romo,Mexico,MID,best score 36 < 85,Álvaro Fidalgo,Real Betis
Elías Montiel,Mexico,MID,best score 41 < 85,Santiago Giménez,Milan
Kevin Castañeda,Mexico,MID,best score 35 < 85,Johan Vásquez,Genoa
Alexis Gutiérrez,Mexico,MID,best score 50 < 85,Raúl Jiménez,Fulham
Jeremy Márquez,Mexico,MID,best score 51 < 85,Johan Vásquez,Genoa
Alexéi Domínguez,Mexico,FWD,best score 50 < 85,Raúl Jiménez,Fulham
Efraín Álvarez,Mexico,MID,best score 54 < 85,Álvaro Fidalgo,Real Betis
Jorge Ruvalcaba,Mexico,FWD,best score 46 < 85,Obed Vargas,Atlético Madrid
Michael Boxall,New Zealand,DEF,best score 33 < 85,Chris Wood,Nottingham Forest
Liberato Cacace,New Zealand,DEF,best score 24 < 85,Chris Wood,Nottingham Forest
Nando Pijnaker,New Zealand,DEF,best score 8 < 85,Chris Wood,Nottingham Forest
Tommy Smith,New Zealand,DEF,best score 27 < 85,Chris Wood,Nottingham Forest
Matthew Garbett,New Zealand,FWD,best score 26 < 85,Chris Wood,Nottingham Forest
Sarpreet Singh,New Zealand,MID,best score 16 < 85,Chris Wood,Nottingham Forest
Blás Riveros,Paraguay,DEF,best score 33 < 85,Julio Enciso,Strasbourg
Alcides Benítez,Paraguay,DEF,best score 50 < 85,Omar Alderete,Sunderland
Agustín Sández,Paraguay,DEF,best score 46 < 85,Antonio Sanabria,Cremonese
Alan Núñez,Paraguay,DEF,best score 36 < 85,Antonio Sanabria,Cremonese
Saúl Salcedo,Paraguay,DEF,best score 41 < 85,Julio Enciso,Strasbourg
Diego León,Paraguay,DEF,best score 66 < 85,Diego Gómez,Brighton
Tarek Salman,Qatar,DEF,no FBref players from this country,,
Rayyan Al Ali,Qatar,DEF,no FBref players from this country,,
Homam El Amin,Qatar,DEF,no FBref players from this country,,
Sultan Al Brake,Qatar,DEF,no FBref players from this country,,
Abdulaziz Hatem,Qatar,MID,no FBref players from this country,,
Jassem Gaber,Qatar,MID,no FBref players from this country,,
Ahmed Alaa,Qatar,FWD,no FBref players from this country,,
Mohammed Muntari,Qatar,FWD,no FBref players from this country,,
Sebastián Soria,Qatar,FWD,no FBref players from this country,,
Tahsin Jamshid,Qatar,FWD,no FBref players from this country,,
Ken Sema,Sweden,MID,best score 55 < 85,Isak Hien,Atalanta
Hans Vanaken,Belgium,MID,best score 56 < 85,Aster Vranckx,Sassuolo
Stopira,Cape Verde,DEF,best score 54 < 85,Logan Costa,Villarreal
Jamiro Monteiro,Cape Verde,MID,best score 30 < 85,Logan Costa,Villarreal
Hélio Varela,Cape Verde,MID,best score 34 < 85,Logan Costa,Villarreal
Gilson Benchimol,Cape Verde,MID,best score 44 < 85,Logan Costa,Villarreal
Oumar Diakité,Ivory Coast,FWD,best score 50 < 85,Amad Diallo,Manchester Utd
Ange-Yoan Bonny,Ivory Coast,FWD,best score 47 < 85,Simon Adingra,Sunderland
Keeto Thermoncy,Haiti,DEF,best score 30 < 85,Jean-Ricner Bellegarde,Wolves
Dominique Simon,Haiti,MID,best score 50 < 85,Josué Casimir,Auxerre
Lenny Joseph,Haiti,FWD,best score 40 < 85,Carlens Arcus,Angers
Ehsan Haddad,Jordan,DEF,best score 37 < 85,Musa Al-Taamari,Rennes
Saed Al Rosan,Jordan,DEF,best score 42 < 85,Musa Al-Taamari,Rennes
Anas Badawi,Jordan,DEF,best score 38 < 85,Musa Al-Taamari,Rennes
Raja'ei Ayed,Jordan,MID,best score 28 < 85,Musa Al-Taamari,Rennes
Ali Olwan,Jordan,FWD,best score 40 < 85,Musa Al-Taamari,Rennes
Lee Gi-Hyuk,South Korea,DEF,best score 54 < 85,Lee Kang-in,Paris Saint-Germain
Hwang In-Beom,South Korea,MID,best score 53 < 85,Hong Hyunseok,Nantes
Lee Dong-Gyeong,South Korea,MID,best score 66 < 85,Jeong Woo-yeong,Union Berlin
Dylan Bronn,Tunisia,DEF,best score 38 < 85,Hannibal Mejbri,Burnley
Yan Valery,Tunisia,DEF,best score 48 < 85,Hannibal Mejbri,Burnley
Elias Achouri,Tunisia,MID,best score 63 < 85,Elias Saad,Augsburg
Gédéon Kalulu,Congo DR,DEF,no FBref players from this country,,
Gaël Kakuta,Congo DR,MID,no FBref players from this country,,
Armando Obispo,Curacao,DEF,no FBref players from this country,,
Deveron Fonville,Curacao,DEF,no FBref players from this country,,
Jürgen Locadia,Curacao,FWD,no FBref players from this country,,
Roozbeh Cheshmi,IR Iran,MID,no FBref players from this country,,
Kasra Taheri,IR Iran,FWD,no FBref players from this country,,
Mustafa Saadoon,Iraq,DEF,no FBref players from this country,,
Ahmed Yahya,Iraq,DEF,no FBref players from this country,,
Dario Naamo,Iraq,DEF,no FBref players from this country,,
Jussef Nasrawe,Iraq,MID,no FBref players from this country,,
Ahmed Qasem,Iraq,MID,no FBref players from this country,,
Nélson Semedo,Portugal,DEF,best score 57 < 85,Pedro Neto,Chelsea
Cristiano Ronaldo,Portugal,FWD,best score 57 < 85,Tiago Tomás,Stuttgart
Ross Stewart,Scotland,FWD,best score 40 < 85,Ryan Christie,Bournemouth
Lawrence Shankland,Scotland,FWD,best score 45 < 85,Aaron Hickey,Brentford
Christian Fassnacht,Switzerland,MID,best score 52 < 85,Fabian Schär,Newcastle United
Cedric Itten,Switzerland,FWD,best score 69 < 85,Cedric Zesiger,Augsburg
Yusuf Akçiçek,Turkiye,DEF,best score 43 < 85,Zeki Çelik,Roma
Çaglar Söyüncü,Turkiye,DEF,best score 48 < 85,Livan Burcu,Union Berlin
Aral Simsir,Turkiye,MID,best score 47 < 85,Arda Güler,Real Madrid
Demir Ege Tiknaz,Turkiye,MID,best score 53 < 85,Emirhan İlkhan,Torino
Yusuf Sari,Turkiye,MID,best score 42 < 85,Can Uzun,Eintracht Frankfurt
Aaron Tshibola,Congo DR,MID,no FBref players from this country,,
Karim Hafez,Egypt,DEF,best score 48 < 85,Haissem Hassan,Oviedo
Nabil Emad Dunga,Egypt,MID,best score 40 < 85,Haissem Hassan,Oviedo
Mostafa Zico,Egypt,MID,best score 70 < 85,Mostafa Mohamed,Nantes
Aqtay Abdallah,Egypt,FWD,best score 44 < 85,Mohamed Salah,Liverpool
Hamza Abdelkarim,Egypt,FWD,best score 48 < 85,Mohamed Salah,Liverpool
Maya Yoshida,Japan,DEF,best score 50 < 85,Koki Machida,Hoffenheim
Ronaldo Dejesús,Paraguay,DEF,best score 42 < 85,Omar Alderete,Sunderland
Mateo Gamarra,Paraguay,DEF,best score 55 < 85,Antonio Sanabria,Cremonese
Robert Piris Da Motta,Paraguay,MID,best score 37 < 85,Omar Alderete,Sunderland
Óscar Romero,Paraguay,MID,best score 48 < 85,Omar Alderete,Sunderland
Mathías Villasanti,Paraguay,MID,best score 47 < 85,Antonio Sanabria,Cremonese
Hugo Cuenca,Paraguay,MID,best score 52 < 85,Julio Enciso,Strasbourg
Andrés Cubas,Paraguay,MID,best score 45 < 85,Omar Alderete,Sunderland
Álvaro Campuzano,Paraguay,MID,best score 39 < 85,Omar Alderete,Sunderland
Ángel Romero,Paraguay,MID,best score 45 < 85,Omar Alderete,Sunderland
Rodney Redes,Paraguay,MID,best score 48 < 85,Omar Alderete,Sunderland
Enso González,Paraguay,MID,best score 58 < 85,Diego Gómez,Brighton
Diego González,Paraguay,MID,best score 80 < 85,Diego Gómez,Brighton
Youssef Belammari,Morocco,DEF,best score 78 < 85,Youssef El-Arabi,Nantes
Soufiane Bouftini,Morocco,DEF,best score 77 < 85,Sofiane Boufal,Le Havre
Mohamed Chibi,Morocco,DEF,best score 51 < 85,Omar El Hilali,Espanyol
Imrân Louza,Morocco,MID,best score 57 < 85,Samir El Mourabet,Strasbourg
Soufiane El-Faouzi,Morocco,MID,best score 69 < 85,Sofiane Diop,Nice
Ayyoub Bouaddi,Morocco,MID,best score 57 < 85,Ayoube Amaimouni Echghouyab,Eintracht Frankfurt
Marwane Saadane,Morocco,MID,best score 68 < 85,Maroan Sannadi,Athletic Club
Soufiane Benjdida,Morocco,FWD,best score 68 < 85,Sofiane Diop,Nice
Othmane Maamma,Morocco,MID,best score 56 < 85,Hamza Igamane,Lille
Tawfik Bentayeb,Morocco,FWD,best score 48 < 85,Reda Belahyane,Lazio
Yanis Begraoui,Morocco,MID,best score 55 < 85,Neil El Aynaoui,Roma
Thelo Aasgaard,Norway,MID,best score 50 < 85,Erling Haaland,Manchester City
Fredrik Aursnes,Norway,MID,best score 64 < 85,Fredrik Oppegard,Auxerre
Lorenzo Melgarejo,Paraguay,MID,best score 44 < 85,Omar Alderete,Sunderland
Rubén Lezcano,Paraguay,MID,best score 40 < 85,Julio Enciso,Strasbourg
Carlos González,Paraguay,FWD,best score 46 < 85,Diego Gómez,Brighton
Isidro Pitta,Paraguay,FWD,best score 39 < 85,Julio Enciso,Strasbourg
Adrián Alcaraz,Paraguay,FWD,best score 46 < 85,Antonio Sanabria,Cremonese
Adam Bareiro,Paraguay,FWD,best score 40 < 85,Omar Alderete,Sunderland
Ronaldo Martínez,Paraguay,MID,best score 48 < 85,Omar Alderete,Sunderland
Robert Morales,Paraguay,FWD,best score 44 < 85,Omar Alderete,Sunderland
Ilay Camara,Senegal,DEF,best score 75 < 85,Lamine Camara,Monaco
Sadio Mané,Senegal,MID,best score 81 < 85,Sadibou Sané,Metz
Thabiso Monyane,South Africa,DEF,best score 23 < 85,Lyle Foster,Burnley
Olwethu Makhanya,South Africa,DEF,best score 22 < 85,Lyle Foster,Burnley
Bradley Cross,South Africa,DEF,best score 41 < 85,Lyle Foster,Burnley
Thapelo Morena,South Africa,DEF,best score 31 < 85,Lyle Foster,Burnley
Lebohang Maboe,South Africa,MID,best score 40 < 85,Lyle Foster,Burnley
Kamogelo Sebelebele,South Africa,MID,best score 40 < 85,Lyle Foster,Burnley
Patrick Maswanganyi,South Africa,MID,best score 24 < 85,Lyle Foster,Burnley
Brooklyn Poggenpoel,South Africa,MID,best score 40 < 85,Lyle Foster,Burnley
Iqraam Rayners,South Africa,MID,best score 30 < 85,Lyle Foster,Burnley
Ivan Toney,England,FWD,best score 63 < 85,Kaden Rodney,Crystal Palace
Amine Sbaï,Morocco,FWD,best score 80 < 85,Amine Adli,Bournemouth
Sondre Langås,Norway,DEF,best score 59 < 85,Sander Tangvik,Hamburger SV
Deinner Ordóñez,Ecuador,DEF,best score 46 < 85,Kendry Páez,Strasbourg
Fricio Caicedo,Ecuador,DEF,best score 64 < 85,Moisés Caicedo,Chelsea
Ederson Castillo,Ecuador,MID,best score 48 < 85,Nilson Angulo,Sunderland
Darwin Guagua,Ecuador,MID,best score 46 < 85,Nilson Angulo,Sunderland
Malcom DaCosta,Ecuador,MID,best score 42 < 85,Moisés Caicedo,Chelsea
Bruno Caicedo,Ecuador,MID,best score 66 < 85,Moisés Caicedo,Chelsea
Luis Fragozo,Ecuador,MID,best score 48 < 85,Nilson Angulo,Sunderland
Hassan Al Tambakti,Saudi Arabia,DEF,best score 48 < 85,Saud Abdulhamid,Lens
Zakaria Hawsawi,Saudi Arabia,DEF,best score 33 < 85,Saud Abdulhamid,Lens
Jehad Thikri,Saudi Arabia,DEF,best score 37 < 85,Saud Abdulhamid,Lens
Moteb Al Harbi,Saudi Arabia,DEF,best score 41 < 85,Saud Abdulhamid,Lens
Salem Al Dawsari,Saudi Arabia,MID,best score 45 < 85,Saud Abdulhamid,Lens
Alaa Al Hejji,Saudi Arabia,MID,best score 42 < 85,Saud Abdulhamid,Lens
Nasser Al Dawsari,Saudi Arabia,MID,best score 37 < 85,Saud Abdulhamid,Lens
Mohammed Abu Al Shamat,Saudi Arabia,MID,best score 56 < 85,Saud Abdulhamid,Lens
Saleh Abu Al Shamat,Saudi Arabia,FWD,best score 58 < 85,Saud Abdulhamid,Lens
Abdullah Al Salem,Saudi Arabia,FWD,best score 59 < 85,Saud Abdulhamid,Lens
Zorhan Bassong,Canada,DEF,best score 42 < 85,Tajon Buchanan,Villarreal
Alistair Johnston,Canada,DEF,best score 49 < 85,Ismaël Koné,Sassuolo
Jamie Knight-Lebel,Canada,DEF,best score 47 < 85,Ismaël Koné,Sassuolo
Alfie Jones,Canada,DEF,best score 54 < 85,Ismaël Koné,Sassuolo
Stephen Eustaquio,Canada,MID,best score 47 < 85,Theo Bair,Auxerre
Jacob Shaffelburg,Canada,MID,best score 45 < 85,Jacen Russell-Rowe,Toulouse
Jayden Nelson,Canada,MID,best score 51 < 85,Jacen Russell-Rowe,Toulouse
Promise David,Canada,FWD,best score 57 < 85,Alphonso Davies,Bayern Munich
Alexander Djiku,Ghana,DEF,best score 53 < 85,Nathaniel Adjei,Lorient
Jerome Opoku,Ghana,DEF,best score 50 < 85,Joseph Aidoo,Celta Vigo
Caleb Yirenkyi,Ghana,MID,best score 61 < 85,Caleb Ekuban,Genoa
Jordan Ayew,Ghana,FWD,best score 50 < 85,Jonas Adjetey,Wolfsburg
Prince Adu,Ghana,FWD,best score 57 < 85,Francis Abu,Toulouse
Abdul Fatawu,Ghana,FWD,best score 60 < 85,Abdul Mumin,Rayo Vallecano
Christopher Bonsu Baah,Ghana,FWD,best score 55 < 85,Ernest Nuamah,Lyon
Brandon Thomas-Asante,Ghana,FWD,best score 62 < 85,Thomas Partey,Villarreal
Harry Souttar,Australia,DEF,best score 33 < 85,Mathew Ryan,Levante
Cameron Devlin,Australia,MID,best score 50 < 85,Jackson Irvine,St Pauli
Mathew Leckie,Australia,MID,best score 67 < 85,Mathew Ryan,Levante
Mohamed Touré,Australia,FWD,best score 41 < 85,Mathew Ryan,Levante
Tete Yengi,Australia,FWD,best score 47 < 85,Mathew Ryan,Levante
Brandon Borrello,Australia,FWD,best score 40 < 85,Jackson Irvine,St Pauli
Redouane Halhal,Morocco,DEF,best score 55 < 85,Omar El Hilali,Espanyol
Zakaria El Ouahdi,Morocco,DEF,best score 64 < 85,Zakaria Aboukhlal,Torino
Soufiane Rahimi,Morocco,FWD,best score 66 < 85,Sofiane Diop,Nice
Fidel Escobar,Panama,DEF,best score 43 < 85,Michael Amir Murillo,Marseille
Edgardo Fariña,Panama,DEF,best score 35 < 85,Michael Amir Murillo,Marseille
Alberto Quintero,Panama,FWD,best score 38 < 85,Michael Amir Murillo,Marseille
Azarías Londoño,Panama,FWD,best score 38 < 85,Michael Amir Murillo,Marseille
Tomás Rodríguez,Panama,FWD,best score 34 < 85,Michael Amir Murillo,Marseille
Sergiño Dest,United States,DEF,best score 56 < 85,Kevin Paredes,Wolfsburg
Miles Robinson,United States,DEF,best score 69 < 85,Antonee Robinson,Fulham
Haji Wright,United States,FWD,best score 48 < 85,Chris Richards,Crystal Palace
Álex Zendejas,United States,MID,best score 64 < 85,Alex Freeman,Villarreal
