league,season,team,player,nation,pos,age,mp,starts,minutes,nineties,goals_against,ga_per90,shots_on_target_against,saves,save_pct,clean_sheets,cs_pct,pks_faced,pks_allowed,pen_saves,pks_missed_by_opp,per90_saves,per90_cs
,2526,Köln,Marvin Schwäbe,GER,GK,31-032,34,34,3060,34.0,63,1.85,148,92,60.8,3,8.8,7,5,2,0,2.7058823529411766,0.08823529411764706
,2526,Leverkusen,Janis Blaswich,GER,GK,35-025,11,10,931,10.3,9,0.87,50,41,82.0,3,30.0,0,0,0,0,3.9805825242718442,0.2912621359223301
,2526,Leverkusen,Mark Flekken,NED,GK,32-348,24,24,2129,23.7,38,1.61,110,79,71.8,5,20.8,7,7,0,0,3.3333333333333335,0.2109704641350211
,2526,Mainz 05,Daniel Batz,GER,GK,35-135,21,21,1890,21.0,27,1.29,96,70,72.9,4,19.0,1,1,0,0,3.3333333333333335,0.19047619047619047
,2526,Mainz 05,Lasse Rieß,GER,GK,24-304,4,3,292,3.2,12,3.7,26,15,57.7,0,0.0,1,1,0,0,4.6875,0.0
,2526,Mainz 05,Robin Zentner,GER,GK,31-211,10,10,876,9.7,14,1.44,45,31,68.9,0,0.0,0,0,0,0,3.195876288659794,0.0
,2526,RB Leipzig,Maarten Vandevoordt,BEL,GK,24-090,12,11,1052,11.7,15,1.28,44,30,65.9,2,18.2,1,0,1,0,2.5641025641025643,0.17094017094017094
,2526,RB Leipzig,Péter Gulácsi,HUN,GK,36-021,23,23,2008,22.3,32,1.43,83,52,63.9,9,39.1,2,2,0,0,2.3318385650224216,0.40358744394618834
,2526,St Pauli,Nikola Vasilj,BIH,GK,30-176,34,34,3060,34.0,60,1.76,178,123,68.0,5,14.7,6,3,2,1,3.6176470588235294,0.14705882352941177
,2526,Stuttgart,Alexander Nübel,GER,GK,29-239,34,34,3060,34.0,49,1.44,147,107,72.8,11,32.4,10,9,1,0,3.1470588235294117,0.3235294117647059
,2526,Union Berlin,Carl Klaus,GER,GK,32-131,4,3,330,3.7,4,1.09,13,9,69.2,1,33.3,0,0,0,0,2.4324324324324325,0.27027027027027023
,2526,Union Berlin,Frederik Rønnow,DEN,GK,33-296,30,30,2640,29.3,54,1.84,125,75,61.6,5,16.7,6,6,0,0,2.5597269624573378,0.1706484641638225
,2526,Union Berlin,Matheo Raab,GER,GK,27-160,1,1,90,1.0,0,0.0,6,6,100.0,1,100.0,0,0,0,0,6.0,1.0
,2526,Werder Bremen,Karl Jakob Hein,EST,GK,24-044,2,2,180,2.0,4,2.0,14,11,78.6,1,50.0,1,1,0,0,5.5,0.5
,2526,Werder Bremen,Mio Backhaus,GER,GK,22-041,32,32,2880,32.0,56,1.75,151,100,66.2,5,15.6,5,5,0,0,3.125,0.15625
,2526,Wolfsburg,Kamil Grabara,POL,GK,27-139,34,34,3060,34.0,69,2.03,179,120,65.4,2,5.9,12,7,3,2,3.5294117647058822,0.058823529411764705
